ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"09675174","Volkach, St",15.4,13.5,63.5,6,919
"09676112","Amorbach, St",70.2,7.5,21.1,3.5,956
"09676117","Collenberg",69.2,8.1,17,4,860
"09676118","Dorfprozelten",69.7,11,15,4.3,704
"09676119","Eichenbühl",46.9,11.4,39,4.3,1435
"09676121","Elsenfeld, M",44.2,19,32.3,6.4,508
"09676122","Erlenbach a.Main, St",37.4,25.6,28.6,6.4,407
"09676123","Eschau, M",61.4,8.2,28.6,3.9,814
"09676124","Faulbach",42.2,15.4,33.7,5.1,661
"09676125","Großheubach, M",41.5,14.7,37,4.7,546
"09676126","Großwallstadt",38.4,17.8,33,6.3,605
"09676131","Kirchzell, M",74.3,5.4,19.2,3.4,1551
"09676134","Klingenberg a.Main, St",56.1,16.1,19.8,5.6,552
"09676136","Leidersbach",42,12.1,42.6,3.9,504
"09676139","Miltenberg, St",62.8,10.8,24.3,4.6,702
"09676140","Mömlingen",40.5,12,43.1,4.4,455
"09676144","Niedernberg",25.9,22.1,40.2,5.7,701
"09676145","Obernburg a.Main, St",50.3,15.8,29.4,5.3,452
"09676156","Schneeberg, M",65.4,8.3,24,4.5,775
"09676160","Sulzbach a.Main, M",51.5,15.8,27.5,5,431
"09676165","Weilbach, M",69.6,10.7,17.8,3.6,1321
"09676169","Wörth a.Main, St",57.6,16.6,19.5,6.6,560
"09676116","Bürgstadt, M",52.5,15.4,22.9,5,632
"09676143","Neunkirchen",21.9,11.2,65.5,4.4,1277
"09676132","Kleinheubach, M",52.4,24.8,18.1,7.1,631
"09676135","Laudenbach",58,18.4,17.4,6.8,623
"09676153","Rüdenau",69.3,12.5,15,4.4,676
"09676128","Hausen",48.2,10.3,39.7,3.3,440
"09676133","Kleinwallstadt, M",49.1,16.4,30.3,5.2,452
"09676141","Mönchberg, M",50.5,9,38.9,4.4,843
"09676151","Röllbach",40.1,9.8,47.8,4.3,741
"09676111","Altenbuch",89.4,4.4,5.3,3,1320
"09676158","Stadtprozelten, St",72.4,9.4,14.6,4.1,667
"09676452","Forstwald",96.9,3,0.1,3,0
"09676455","Hohe Wart",96.6,3.1,0.1,3.1,0
"09677114","Arnstein, St",23.1,10,62.3,5.3,1381
"09677127","Eußenheim",35.6,7.8,48.3,4.5,1430
"09677129","Frammersbach, M",41.2,14.3,29.9,5,614
"09677131","Gemünden a.Main, St",56.9,12.2,24.4,5.7,909
"09677148","Karlstadt, St",30.1,13.2,47.8,6.1,865
"09677154","Triefenstein, M",22.8,17.4,44.6,6.9,1012
"09677155","Lohr a.Main, St",70.8,11,13.3,4.2,657
"09677157","Marktheidenfeld, St",25.6,24.2,43.1,7.8,771
"09677177","Rieneck, St",80.7,7.6,8.2,3.8,1036
"09677137","Hasloch",56.5,13.2,22.9,6,972
"09677151","Kreuzwertheim, M",44.9,15.3,33.1,5.7,775
"09677182","Schollbrunn",69.8,9.2,19,4.9,1255
"09677119","Birkenfeld",27.6,8,61.1,4.5,1087
"09677120","Bischbrunn",74.7,6.5,17.1,4.3,1329
"09677125","Erlenbach b.Marktheidenfeld",26.9,13.5,53.9,6.5,867
"09677126","Esselbach",33.9,15.7,46.5,5.7,904
"09677135","Hafenlohr",47.2,15.1,29.5,6.1,923
"09677146","Karbach, M",36.9,7.8,49.9,4.5,1294
"09677178","Roden",42.1,8.1,47.6,4.6,1656
"09677181","Rothenfels, St",61.1,8.3,24.8,3.8,976
"09677193","Urspringen",30.6,8.6,59,4.7,1100
"09677116","Aura i.Sinngrund",60.8,7.6,28.3,2.9,959
"09677122","Burgsinn, M",82.4,5.4,9.4,3.2,1167
"09677128","Fellen",85.4,4.3,9.1,2.7,1747
"09677159","Mittelsinn",49.6,8.9,35.1,4.9,1559
"09677169","Obersinn, M",49.8,9.9,34.5,5.1,1240
"09677132","Gössenheim",22.4,13.3,53.8,6.5,1365
"09677133","Gräfendorf",68.6,5.4,23,3.1,1821
"09677149","Karsbach",36.2,8.3,52.3,4.3,1458
"09677164","Neuendorf",74.5,10.2,9.2,5.2,1192
"09677166","Neustadt a.Main",80.5,6.3,7.4,3.2,1004
"09677172","Rechtenbach",69.3,8.8,19.2,3.8,641
"09677186","Steinfeld",37.4,8.6,51.3,4.7,1370
"09677142","Himmelstadt",44.5,11.6,37.1,5,999
"09677175","Retzstadt",24.2,9,62.4,5,1038
"09677189","Thüngen, M",29.5,12.9,51.5,5.1,1313
"09677203","Zellingen, M",35.3,11.9,45.8,5.6,776
"09677165","Neuhütten",28,18.6,43.9,7.1,974
"09677170","Partenstein",58.4,15.1,19.4,5.4,565
"09677200","Wiesthal",46.4,11.9,31.5,4.6,846
"09677452","Burgjoß",97.9,1.7,0.2,1.7,0
"09677453","Forst Aura",97.6,2,0.2,2,0
"09677454","Forst Lohrerstraße",96.6,3.1,0.1,3,0
"09677455","Frammersbacher Forst",97.1,2.7,0.2,2.7,0
"09677456","Fürstl. Löwenstein'scher Park",97,2.3,0.4,2.3,0
"09677457","Haurain",96.9,2.9,0.2,2.9,0
"09677458","Herrnwald",98.1,1.9,0,1.9,0
"09677459","Langenprozeltener Forst",97.7,2.1,0.1,2.1,0
"09677461","Partensteiner Forst",94.1,3.7,0.8,3.6,0
"09677463","Ruppertshüttener Forst",97.4,2.1,0.2,2.1,0
"09678115","Bergrheinfeld",9.1,20.2,60.5,9,753
